lc01,lc02,lc03,lc04,lc05,lc06,lc07,lc08,lc09,lc10,lc11,lc12,prec,tmin,tmax,soil01,soil02,soil03,soil04,soil05,soil06,soil07,soil08,soil09,soil10,hydro01,hydro02,hydro03,hydro04,hydro05,hydro06,hydro07,hydro08,hydro09,hydro10,hydro11,hydro12,hydro13,hydro14,hydro15,hydro16,hydro17,hydro18,hydro19,dem,slope,order,bcmean
33,0,4,26,0,3,26,0,8,0,0,0,465819.0,22.0,125.0,58,54,39,43,18,9,21,1240,240,5,107,114,43,5188,262,2,260,48,175,176,45,4215037,721912,55638,65,2035810,278532,2035810,278532,202,257,4,0.844241985108943
29,1,0,8,0,0,4,0,57,0,0,0,26151.0,29.0,130.0,38,59,42,42,17,7,22,1352,240,4,113,110,42,5397,268,6,262,52,184,184,48,254595,42082,4021,59,118962,20499,118962,20499,102,152,2,0.220925128634387
33,0,4,26,0,3,26,0,8,0,0,0,468598.0,22.0,125.0,58,54,39,43,18,9,21,1240,240,5,107,114,43,5188,262,2,260,48,175,176,45,4242248,726409,56072,65,2048464,280718,2048464,280718,201,256,4,0.202389934759444
59,0,2,16,0,2,18,0,2,0,0,0,8488753.0,12.0,116.0,70,53,43,41,16,13,20,1157,240,5,100,118,44,5290,263,-7,270,40,169,170,36,76416448,12742691,955095,63,36213712,5047035,36213712,5047035,567,454,5,0.0105411909587025
57,0,3,16,0,3,19,0,2,0,0,0,7521530.0,12.0,117.0,68,53,42,41,17,13,20,1166,240,5,101,120,44,5291,265,-7,272,41,170,171,37,67432680,11294386,836408,64,32070354,4406003,32070354,4406003,547,447,5,0.841947543864275
56,0,4,23,1,3,8,0,0,2,2,1,417655.0,11.5,101.0,113,53,49,42,9,19,22,1013,240,5,81,90,37,5256,219,-22,241,21,148,148,16,5150520,755182,158440,48,2192887,559462,2192887,559462,753,953,3,1.3514018788734
50,1,0,8,0,0,0,0,39,0,0,1,3948.5,40.0,118.5,59,57,58,32,9,11,16,1233,240,3,109,81,37,4757,234,17,217,57,172,172,53,45835,6829,1134,51,20038,4803,20038,4803,103,120,1,0.455201652737803
66,0,3,18,1,1,6,0,4,1,1,1,692637.5,7.5,106.5,135,52,47,45,8,16,25,943,240,5,82,102,40,5256,230,-20,250,23,151,151,19,8082526,1219435,170147,53,3584416,747609,3584416,747609,818,707,4,-0.309301802290866
38,0,6,43,1,1,2,0,1,0,0,7,450803.5,15.5,153.5,36,63,44,37,19,11,25,1365,232,12,138,169,49,6104,341,-5,346,66,219,219,66,3040742,621712,5286,87,1620480,43055,1620480,43055,623,471,4,-0.637604297394988
55,0,2,30,0,1,8,0,3,0,0,2,38973.0,20.0,117.0,82,55,54,36,9,11,19,1156,240,5,102,103,42,4927,244,3,241,46,167,167,43,402399,58093,10356,47,168835,43862,168835,43862,158,89,3,0.139232085048384
72,0,2,23,0,0,1,0,0,0,0,0,206325.5,7.0,109.0,157,51,44,48,8,17,28,901,240,5,83,104,41,5292,232,-20,252,22,151,151,18,2412591,364297,50960,53,1067338,224377,1067338,224377,820,786,3,1.00411927879772
9,0,1,28,5,15,42,0,0,0,0,0,185025.0,64.0,222.0,16,69,45,36,19,6,24,1510,237,6,158,157,47,6305,349,15,334,79,238,238,79,3151806,662914,7290,86,1696712,68544,1696712,68544,128,123,4,0.384578918768154
32,0,5,42,2,4,7,0,1,0,0,6,533297.0,22.0,158.5,32,64,45,36,19,10,25,1398,232,11,143,167,48,6125,344,1,343,70,224,224,70,3581536,737542,6194,88,1915166,50174,1915166,50174,533,429,4,0.054832305515646
32,0,5,42,2,4,7,0,1,0,0,6,533297.0,22.0,158.5,32,64,45,36,19,10,25,1398,232,11,143,167,48,6125,344,1,343,70,224,224,70,3581536,737542,6194,88,1915166,50174,1915166,50174,533,429,4,0.0471569215853916
32,0,5,42,2,4,8,0,1,0,0,6,502138.0,28.0,167.0,31,64,45,36,19,10,25,1399,232,11,143,167,48,6144,345,1,344,70,224,224,70,3612285,744090,6259,88,1931457,50629,1931457,50629,526,423,4,-0.112054065630607
32,0,5,42,2,4,8,0,1,0,0,6,502138.0,28.0,167.0,31,64,45,36,19,10,25,1399,232,11,143,167,48,6144,345,1,344,70,224,224,70,3612285,744090,6259,88,1931457,50629,1931457,50629,526,423,4,-0.172782068508243
32,0,5,42,2,4,8,0,1,0,0,6,502138.0,28.0,167.0,31,64,45,36,19,10,25,1399,232,11,143,167,48,6144,345,1,344,70,224,224,70,3612285,744090,6259,88,1931457,50629,1931457,50629,526,423,4,-0.112054065630607
7,0,0,8,2,1,70,0,0,0,0,13,1351.0,68.5,204.5,15,70,46,36,18,4,27,1433,240,1,162,147,45,6274,353,27,326,83,241,241,83,12759,2629,27,86,6587,199,6587,199,6,6,1,-0.291978183449936
48,0,1,23,6,9,10,0,1,0,0,1,12010641.5,2.5,129.0,35,61,49,35,17,16,21,1333,238,8,122,155,45,6481,321,-21,342,50,207,207,44,86579952,15381704,546223,73,41622668,3465832,41622668,3465832,983,374,6,-0.697591362807693
50,0,3,37,0,4,4,0,1,0,0,1,111387.0,54.0,189.0,38,56,46,35,18,13,21,1327,239,9,143,139,44,6210,327,10,317,69,224,225,69,1426795,277384,3163,82,727963,24494,727963,24494,672,266,3,-1.19224434060245
18,0,1,23,15,14,26,0,1,0,1,0,7902974.0,19.0,145.0,22,67,50,32,17,13,21,1432,236,7,146,151,45,6472,336,3,333,80,230,230,67,49124744,8935006,353618,78,24368068,1486346,24368068,1486346,895,400,5,0.774269358998502
36,0,1,31,6,12,13,0,0,0,1,0,568376.0,12.0,143.0,33,60,53,31,15,17,18,1358,237,8,127,149,45,6329,317,-10,327,51,210,210,51,3905796,702628,28123,77,1916911,119795,1916911,119795,1284,559,4,0.559846618545648
0,0,3,7,0,14,72,0,4,0,0,0,269.0,7.0,139.0,19,72,48,37,15,4,21,1417,240,2,112,137,38,7862,317,-41,358,17,208,215,12,3249,505,90,44,1371,419,1371,419,249,77,1,1.8320768150883
39,0,0,15,2,5,0,0,1,0,0,34,11491.0,-28.0,114.0,49,54,57,29,13,25,15,1230,239,7,68,150,45,6331,261,-71,332,4,152,152,-5,165212,28254,2549,67,76857,10447,76857,10447,2138,556,0,-1.23013079757401
54,0,0,7,2,27,1,0,0,0,1,7,4924.0,-59.0,67.0,41,55,60,28,12,29,14,1237,240,6,62,150,44,6538,259,-79,338,-2,150,150,-12,38531,6150,747,61,17105,3045,17105,3045,2584,756,1,-1.40637663769478
37,0,0,14,16,12,3,0,4,0,0,13,487778.0,-47.0,92.0,36,62,52,32,15,23,21,1272,238,7,75,165,45,6712,282,-80,362,-5,164,164,-5,3870877,655224,69811,64,1773332,282200,1773332,282200,1949,490,4,-0.522970213601183
38,0,1,7,18,20,14,0,1,0,1,0,1800244.0,-19.0,94.0,60,67,45,42,13,15,29,1154,239,6,79,124,37,7253,269,-61,330,-6,174,174,-11,19397056,3245115,362754,60,9245811,1717641,9245811,1717641,872,476,5,-0.150037384245759
0,0,0,8,27,34,28,0,1,0,2,0,73974.0,-5.0,117.0,21,76,43,39,18,7,30,1326,240,2,97,136,37,7894,308,-55,363,1,194,199,-3,801213,113049,26550,39,311758,96957,311758,96957,480,81,4,1.49201131000932
14,0,1,9,32,28,9,0,0,0,5,1,32393016.0,-31.0,117.0,24,73,45,37,17,17,28,1318,237,7,75,161,40,8162,303,-100,403,-18,177,183,-26,368144544,38493296,18447930,20,113454752,64673168,113454752,64673168,1674,374,0,-0.0246678966376876
1,0,0,9,19,40,29,0,0,0,1,0,74371.0,-15.0,94.0,25,74,35,44,21,7,37,1289,240,3,82,129,36,7762,292,-63,355,-10,179,183,-16,822387,115128,32416,38,321301,105957,321301,105957,686,74,3,0.884268804426431
7,0,0,9,11,27,42,0,0,0,4,0,639768.0,-9.0,98.0,24,71,34,45,21,8,33,1303,240,3,87,129,37,7282,290,-52,342,0,178,182,-3,6721622,911168,233408,38,2592817,847448,2592817,847448,693,123,4,1.47861069064025
20,0,1,11,38,6,6,0,14,0,3,1,669115.0,41.0,184.0,19,69,55,29,16,12,20,1419,232,9,166,157,51,5302,338,31,307,111,235,239,105,3840749,725368,22481,80,2032858,154690,2032858,154690,830,445,5,1.69962954469019
16,0,0,9,49,6,7,0,7,0,3,1,257102.0,52.0,195.0,16,71,54,29,17,11,21,1435,232,9,168,156,51,5322,339,33,306,113,237,242,107,1541668,289121,9612,79,809932,68000,809932,68000,736,377,5,1.68212531066233
8,0,1,8,36,29,10,0,0,0,5,2,20605022.0,-13.0,145.0,18,75,47,36,17,16,28,1344,236,7,78,164,40,8323,308,-102,410,-16,182,189,-25,240671168,24329232,13176815,17,70042400,45091600,70042400,45091600,1746,326,6,0.209063236566871
50,0,2,25,1,7,12,0,0,0,2,0,78865.0,4.0,130.0,53,60,48,41,11,14,25,1223,240,5,74,130,38,6958,276,-63,339,-7,161,165,-12,1023141,133175,34334,37,390519,130009,390519,130009,966,329,3,-1.2382351443451
35,0,1,11,8,23,11,0,0,0,10,1,588852.0,-24.0,131.0,44,64,45,41,14,19,25,1238,239,7,60,161,39,8207,292,-112,404,-35,160,167,-45,7939596,1081035,247471,38,3068908,1005934,3068908,1005934,1573,599,5,-0.596457460252318
2,0,0,2,2,8,79,0,1,0,1,6,13032.0,25.0,181.0,14,70,40,40,19,8,23,1436,240,4,105,146,37,8387,327,-63,390,4,206,215,-2,138773,16237,3677,32,48053,18238,48053,18238,769,60,2,1.13877963143747
25,0,1,11,3,16,43,0,0,0,1,0,60458.0,13.0,141.0,27,67,33,47,19,10,34,1299,240,5,86,128,37,7261,288,-54,342,2,179,182,-3,655409,69401,27594,24,203683,102152,203683,102152,959,340,3,0.994541392478221
22,0,2,10,9,34,20,0,2,0,2,0,546539.0,-13.0,138.0,33,66,44,40,16,17,25,1335,238,8,70,156,38,8417,301,-104,405,-27,173,179,-37,7438918,1052016,234779,41,2966527,912907,2966527,912907,1569,520,5,1.40493848277727
22,0,2,10,9,34,19,0,2,0,2,0,653328.0,-49.5,89.5,33,66,44,40,16,17,25,1334,238,8,69,157,38,8408,300,-104,404,-27,173,179,-38,7400904,1047228,233848,41,2952522,908232,2952522,908232,1576,525,5,1.65306921432559
25,0,2,10,7,35,17,0,1,0,3,0,494303.0,-18.0,133.0,35,65,45,40,15,18,24,1319,238,9,64,158,39,8425,297,-110,407,-32,168,174,-43,6875653,980609,220899,42,2758504,846871,2758504,846871,1659,581,5,1.37609206332655
25,0,2,10,7,35,17,0,1,0,3,0,599561.5,-56.0,84.5,36,65,45,40,15,18,24,1317,238,9,64,159,39,8407,296,-111,407,-32,167,173,-43,6816156,972991,219553,42,2736107,839901,2736107,839901,1671,588,5,1.52645642566187
0,0,0,7,22,45,25,0,0,0,0,0,9219.0,16.0,172.0,15,73,41,39,19,10,27,1451,240,8,98,149,37,8346,323,-71,394,-2,198,207,-9,107031,14145,2424,41,41495,11892,41495,11892,923,191,2,-0.156144201763563
26,0,2,10,7,35,16,0,1,0,3,0,475098.0,-21.0,130.0,37,65,45,40,15,18,24,1312,238,9,62,159,39,8447,295,-113,408,-34,166,172,-46,6658711,952703,215883,42,2676466,821778,2676466,821778,1700,604,5,0.699303871076105
27,0,2,11,6,36,14,0,1,0,3,0,668665.0,-102.0,30.0,38,64,45,40,15,19,24,1301,238,9,58,161,39,8447,292,-118,410,-37,162,168,-50,6383835,917252,209361,42,2573530,790647,2573530,790647,1754,640,5,1.00526312591194
51,0,0,11,3,12,9,0,0,0,13,0,24149.0,-1.0,137.0,43,64,33,47,20,15,33,1236,240,7,79,138,39,7290,286,-67,353,110,171,176,-10,250929,28303,11031,24,77965,40904,77965,40904,1223,588,5,-0.875889448443362
29,0,3,11,5,35,13,0,1,0,3,0,427579.0,-28.0,123.0,39,64,45,40,15,19,24,1295,238,9,55,162,39,8458,290,-122,412,-40,159,165,-53,6131760,883399,203583,42,2475314,763135,2475314,763135,1798,663,5,-0.734395107667352
75,0,0,17,0,1,1,0,1,0,4,0,126164.0,-51.0,39.0,77,57,49,43,8,21,26,1115,240,4,69,130,37,7340,278,-71,349,-14,162,166,-20,1275144,178576,38511,40,508140,161445,508140,161445,1243,822,4,-0.849857764812387
0,0,0,12,46,31,6,0,5,0,0,0,2496.0,19.0,168.0,14,75,40,40,21,16,37,1426,240,8,105,143,36,8485,334,-56,390,7,212,218,0,30142,4129,705,41,11429,3234,11429,3234,938,34,2,1.86284343597031
11,0,2,10,26,29,14,0,0,0,6,3,11818523.0,-56.0,82.0,21,73,45,38,18,15,29,1323,237,6,70,158,37,8764,302,-116,418,61,179,185,-40,133873352,13993759,8680228,11,37977168,28642936,37977168,28642936,1824,330,6,0.40642387967225
2,0,0,4,80,5,0,0,4,0,4,0,194234.0,23.0,173.0,11,77,51,32,17,19,23,1442,225,12,154,157,41,8046,361,-21,382,72,189,261,56,1772442,208989,49437,33,588464,257406,588464,257406,1317,417,4,1.58801294139634
11,0,2,10,26,28,14,0,0,0,6,3,11536478.0,-35.5,109.5,21,73,45,37,18,15,28,1322,237,6,71,159,38,8752,302,-116,418,62,179,186,-39,128011888,13475802,8447608,11,36548760,27828148,36548760,27828148,1830,329,6,0.18335757222262
2,0,1,8,38,44,8,0,0,0,0,0,234283.0,-26.0,131.0,18,77,41,40,19,17,32,1315,238,9,66,164,40,7949,295,-109,404,98,166,171,-33,3005616,370711,156870,24,920528,527265,920528,527265,1793,257,4,1.04739265806437
12,0,2,8,17,44,14,0,0,0,4,0,350198.0,-25.0,128.0,23,71,39,41,20,16,33,1341,240,7,57,160,37,8926,292,-131,423,-44,166,172,-58,5132372,691711,212705,36,1933276,737763,1933276,737763,1771,389,5,-0.149101325754512
6,0,0,7,57,17,4,0,0,0,1,3,6954007.0,-9.5,134.5,16,74,50,32,16,15,22,1425,225,12,136,156,39,8521,350,-48,398,241,176,248,29,86636056,10258059,4630035,20,27521790,16985468,27521790,16985468,1428,332,0,-0.441793181934708
